176,Republic of Moldova,5.6,26.07
177,Réunion,10.72,0
178,Romania,13.39,23.38
179,Russian Federation,3.62,3.25
180,Rwanda,86.89,86.73
181,Saint Helena,6.69,13.06
182,Saint Kitts and Nevis,26.28,1.76
183,Saint Lucia,2.31,2.71
184,Saint Pierre and Miquelon,0.56,0.74
185,Saint Vincent and the Grenadines,6.19,3.4
186,Samoa,40.93,26.84
187,Sao Tome and Principe,55.47,38.37
188,Saudi Arabia,0.01,0.02
189,Senegal,45.83,37.59
190,Serbia,19.55,19.9
191,Seychelles,0.51,0.64
192,Sierra Leone,88.48,77.54
193,Singapore,0.6,0.69
194,Sint Maarten (Dutch part),0,0.05
195,Slovakia,6,12.43
196,Slovenia,14.99,20.39
197,Small island developing States (SIDS),23.27,17.95
198,Solomon Islands,54.1,48.7
199,Somalia,93.26,94.87
200,Spain,8.93,15.62
201,Sri Lanka,62.93,48.39
202,State of Palestine,17.12,12.41
203,Sudan,79.38,60.46
204,Suriname,24.14,21.62
205,Sweden,37.66,52.3
206,Switzerland,18.73,24.74
207,Syrian Arab Republic,2.07,1.11
208,Tajikistan,64.07,41.69
209,Thailand,20.04,22.69
210,Timor-Leste,0,18.98
211,Togo,82.06,71.01
212,Tonga,2.7,1.48
213,Trinidad and Tobago,0.68,0.37
214,Tunisia,14.22,11.91
215,Turkey,18.12,11.41
216,Turkmenistan,0.09,0.06
217,Turks and Caicos Islands,0.67,1
218,Tuvalu,0,13.45
219,Uganda,94.15,88.52
220,Ukraine,1.23,6.47
221,United Arab Emirates,0.06,0.21
222,United Kingdom of Great Britain and Northern Ireland,0.85,9.98
223,United Republic of Tanzania,93.07,83.79
224,United States of America,4.68,9.91
225,United States Virgin Islands,0,3.49
226,Uruguay,40.95,60.21
227,Uzbekistan,0.83,2.43
228,Vanuatu,47.42,36.05
229,Venezuela (Bolivarian Republic of),13.1,14.78
230,Viet Nam,56.35,31.98
231,Wallis and Futuna Islands,1.23,0.67
232,Yemen,1.07,4.85
233,Zambia,89.78,84.53
234,Zimbabwe,71.54,83.29
