Continent,2017,,,,,,,,,,,,,,,,,,,,,,,,
Africa,5.65,,,,,,,,,,,,,,,,,,,,,,,,
Asia,5.03,,,,,,,,,,,,,,,,,,,,,,,,
Australia,4.82,,,,,,,,,,,,,,,,,,,,,,,,
Europe,4.39,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,5.3,,,,,,,,,,,,,,,,,,,,,,,,
South America,3.93,,,,,,,,,,,,,,,,,,,,,,,,
