170,Slovakia,8.96,4.44
171,Slovenia,6.06,4.46
172,Solomon Islands,9.62,5.47
173,South Africa,9.79,7.95
174,Spain,4.14,3.3
175,Sri Lanka,3.29,2.01
176,State of Palestine,3.29,3.75
177,Sudan,7.06,4.33
178,Suriname,5.7,1.9
179,Sweden,6.36,4.39
180,Switzerland,3,2.02
181,Syrian Arab Republic,7.21,4.48
182,Tajikistan,11,5.23
183,Thailand,5.2,5.13
184,Timor-Leste,0,0.94
185,Togo,14.73,12.88
186,Tonga,2.89,3.67
187,Trinidad and Tobago,19.18,17.71
188,Tunisia,4.23,3.78
189,Turkey,3.57,3.03
190,Turkmenistan,25.26,12.25
191,Turks and Caicos Islands,0,4.03
192,Tuvalu,3.39,3.68
193,Uganda,13.2,9.52
194,Ukraine,21.79,11.16
195,United Arab Emirates,5.13,4.48
196,United Kingdom of Great Britain and Northern Ireland,4.67,2.8
197,United Republic of Tanzania,10.68,5.74
198,United States of America,7.18,5.09
199,Uruguay,2.76,3.02
200,Uzbekistan,32.82,7.24
201,Vanuatu,4.22,3.65
202,Venezuela (Bolivarian Republic of),6.08,6.02
203,Yemen,3.05,2.04
204,Zambia,11.68,8.05
205,Zimbabwe,11.77,12.95
